N0,G,X,Z,R,F
090,00,160.,60.,,,,,,,,,,,
100,,,,,,T0001,,,,,,,,
110,01,147.,65.3,,4000,,,,,,,,,
120,03,,125.35,500.,,,,,,,,,,
130,02,142.,69.68,500.,4000,,,,,,,,,
140,01,147.,65.3,,,,,,,,,,,
150,,142.,69.68,,,,,,,,,,,
160,03,,127.4,500.,,,,,,,,,,
170,02,137.,74.05,500.,,,,,,,,,,
180,01,144.,67.9,,,,,,,,,,,
190,,137.,74.05,,,,,,,,,,,
200,03,,129.45,500.,,,,,,,,,,
210,02,132.,78.43,500.,,,,,,,,,,
220,01,139.,72.3,,,,,,,,,,,
230,,132.,78.43,,,,,,,,,,,
240,03,,131.5,500.,,,,,,,,,,
250,02,127.,82.8,500.,,,,,,,,,,
260,01,134.,76.65,,,,,,,,,,,
270,,127.,82.8,,,,,,,,,,,
280,03,,133.55,500.,,,,,,,,,,
290,02,122.,87.17,500.,,,,,,,,,,
300,01,129.,81.05,,,,,,,,,,,
310,,122.,87.17,,,,,,,,,,,
320,03,,135.55,500.,,,,,,,,,,
330,02,117.,91.55,500.,,,,,,,,,,
340,01,124.,85.4,,,,,,,,,,,
350,,117.,91.55,,,,,,,,,,,
360,03,,137.6,500.,,,,,,,,,,
370,02,112.,95.92,500.,,,,,,,,,,
380,01,119.,89.8,,,,,,,,,,,
390,,112.,95.92,,,,,,,,,,,
400,03,,139.65,500.,,,,,,,,,,
410,02,107.,100.3,500.,,,,,,,,,,
420,01,114.,94.15,,,,,,,,,,,
430,,107.,100.3,,,,,,,,,,,
440,03,,141.7,500.,,,,,,,,,,
450,02,102.,104.67,500.,,,,,,,,,,
460,01,109.,98.55,,,,,,,,,,,
470,,102.,104.67,,,,,,,,,,,
480,03,,143.7,500.,,,,,,,,,,
490,02,97.,109.05,500.,,,,,,,,,,
500,01,104.,102.9,,,,,,,,,,,
510,,97.,109.05,,,,,,,,,,,
520,03,,145.75,500.,,,,,,,,,,
530,02,92.,113.42,500.,,,,,,,,,,
540,01,99.,107.3,,,,,,,,,,,
550,,92.,113.42,,,,,,,,,,,
560,03,,147.8,500.,,,,,,,,,,
570,02,87.,117.8,500.,,,,,,,,,,
580,01,94.,111.65,,,,,,,,,,,
590,,87.,117.8,,,,,,,,,,,
600,03,,149.85,500.,,,,,,,,,,
610,02,82.,122.17,500.,,,,,,,,,,
620,01,89.,116.05,,,,,,,,,,,
630,,82.,122.17,,,,,,,,,,,
640,03,,151.9,500.,,,,,,,,,,
650,02,77.,126.55,500.,,,,,,,,,,
660,01,84.,120.4,,,,,,,,,,,
670,,77.,126.55,,,,,,,,,,,
680,03,,153.9,500.,,,,,,,,,,
690,02,72.,130.95,500.,,,,,,,,,,
700,01,79.,124.8,,,,,,,,,,,
710,,72.,130.95,,,,,,,,,,,
720,03,,155.95,500.,,,,,,,,,,
730,02,67.,135.3,500.,,,,,,,,,,
740,01,74.,129.2,,,,,,,,,,,
750,,67.,135.3,,,,,,,,,,,
760,01,67.,150.,,1500,,,,,,,,,
780,00,160.,,,,,,,,M,39,,,
,,,,,,T0000,,,,,,,,
,00,190.,125.,,8000,M,40,M,42,,,,,
,00,270.,,,,,,,,,,,,
,01,298.,,,2000,,,,,,,,,
,01,316.,,,100,,,,,,,,,
,01,300.,,,3000,,,,,,,,,
,00,280.,,,,,,,,,,,,
,28,,,,,,,,,U,0.,W,0.,
,,,,,,M,38,,,,,,,
,,,,,,M,43,,,,,,,
,,,,,,M,41,M,39,,,,,
,,,,,,M,99,,,,,,,
,,,,,,,,,,,,,,
